architecture,n_estimators,max_depth,bandwidth,test_bracket,top1
A (per-bracket),500,20,,1100,0.1851145038167939
A (per-bracket),500,20,,1300,0.18361774744027304
A (per-bracket),500,20,,1500,0.14921465968586387
A (per-bracket),500,20,,1700,0.149812734082397
A (per-bracket),500,20,,1900,0.15018050541516245
C (kernel),500,20,50.0,1100,0.1851145038167939
C (kernel),500,20,50.0,1300,0.18361774744027304
C (kernel),500,20,50.0,1500,0.14921465968586387
C (kernel),500,20,50.0,1700,0.149812734082397
C (kernel),500,20,50.0,1900,0.15018050541516245
C (kernel),500,20,100.0,1100,0.1851145038167939
C (kernel),500,20,100.0,1300,0.18088737201365188
C (kernel),500,20,100.0,1500,0.1511780104712042
C (kernel),500,20,100.0,1700,0.14731585518102372
C (kernel),500,20,100.0,1900,0.15306859205776174
C (kernel),500,20,150.0,1100,0.19083969465648856
C (kernel),500,20,150.0,1300,0.1795221843003413
C (kernel),500,20,150.0,1500,0.15903141361256545
C (kernel),500,20,150.0,1700,0.1491885143570537
C (kernel),500,20,150.0,1900,0.1552346570397112
C (kernel),500,20,200.0,1100,0.18797709923664122
C (kernel),500,20,200.0,1300,0.1781569965870307
C (kernel),500,20,200.0,1500,0.15903141361256545
C (kernel),500,20,200.0,1700,0.1466916354556804
C (kernel),500,20,200.0,1900,0.15740072202166064
C (kernel),500,20,300.0,1100,0.19083969465648856
C (kernel),500,20,300.0,1300,0.1795221843003413
C (kernel),500,20,300.0,1500,0.16034031413612565
C (kernel),500,20,300.0,1700,0.14481897627965043
C (kernel),500,20,300.0,1900,0.15451263537906137
C (kernel),500,20,500.0,1100,0.19083969465648856
C (kernel),500,20,500.0,1300,0.18156996587030716
C (kernel),500,20,500.0,1500,0.15772251308900523
C (kernel),500,20,500.0,1700,0.14544319600499375
C (kernel),500,20,500.0,1900,0.15162454873646208
C (kernel),500,20,1000.0,1100,0.19274809160305342
C (kernel),500,20,1000.0,1300,0.1802047781569966
C (kernel),500,20,1000.0,1500,0.15706806282722513
C (kernel),500,20,1000.0,1700,0.14481897627965043
C (kernel),500,20,1000.0,1900,0.15306859205776174
A (per-bracket),1000,20,,1100,0.18606870229007633
A (per-bracket),1000,20,,1300,0.18293515358361775
A (per-bracket),1000,20,,1500,0.1511780104712042
A (per-bracket),1000,20,,1700,0.14731585518102372
A (per-bracket),1000,20,,1900,0.14945848375451262
C (kernel),1000,20,50.0,1100,0.18606870229007633
C (kernel),1000,20,50.0,1300,0.18293515358361775
C (kernel),1000,20,50.0,1500,0.1511780104712042
C (kernel),1000,20,50.0,1700,0.14731585518102372
C (kernel),1000,20,50.0,1900,0.14945848375451262
C (kernel),1000,20,100.0,1100,0.18702290076335878
C (kernel),1000,20,100.0,1300,0.18088737201365188
C (kernel),1000,20,100.0,1500,0.1511780104712042
C (kernel),1000,20,100.0,1700,0.14731585518102372
C (kernel),1000,20,100.0,1900,0.15306859205776174
C (kernel),1000,20,150.0,1100,0.19083969465648856
C (kernel),1000,20,150.0,1300,0.18156996587030716
C (kernel),1000,20,150.0,1500,0.15772251308900523
C (kernel),1000,20,150.0,1700,0.15106117353308365
C (kernel),1000,20,150.0,1900,0.15740072202166064
C (kernel),1000,20,200.0,1100,0.18893129770992367
C (kernel),1000,20,200.0,1300,0.1795221843003413
C (kernel),1000,20,200.0,1500,0.15903141361256545
C (kernel),1000,20,200.0,1700,0.14794007490636704
C (kernel),1000,20,200.0,1900,0.1552346570397112
C (kernel),1000,20,300.0,1100,0.19083969465648856
C (kernel),1000,20,300.0,1300,0.18225255972696247
C (kernel),1000,20,300.0,1500,0.16164921465968587
C (kernel),1000,20,300.0,1700,0.14731585518102372
C (kernel),1000,20,300.0,1900,0.155956678700361
C (kernel),1000,20,500.0,1100,0.191793893129771
C (kernel),1000,20,500.0,1300,0.18156996587030716
C (kernel),1000,20,500.0,1500,0.15903141361256545
C (kernel),1000,20,500.0,1700,0.14731585518102372
C (kernel),1000,20,500.0,1900,0.15090252707581228
C (kernel),1000,20,1000.0,1100,0.19370229007633588
C (kernel),1000,20,1000.0,1300,0.18156996587030716
C (kernel),1000,20,1000.0,1500,0.15772251308900523
C (kernel),1000,20,1000.0,1700,0.14481897627965043
C (kernel),1000,20,1000.0,1900,0.15162454873646208
A (per-bracket),1000,30,,1100,0.18606870229007633
A (per-bracket),1000,30,,1300,0.178839590443686
A (per-bracket),1000,30,,1500,0.1551047120418848
A (per-bracket),1000,30,,1700,0.14731585518102372
A (per-bracket),1000,30,,1900,0.15018050541516245
C (kernel),1000,30,50.0,1100,0.18606870229007633
C (kernel),1000,30,50.0,1300,0.178839590443686
C (kernel),1000,30,50.0,1500,0.1551047120418848
C (kernel),1000,30,50.0,1700,0.14731585518102372
C (kernel),1000,30,50.0,1900,0.15018050541516245
C (kernel),1000,30,100.0,1100,0.18797709923664122
C (kernel),1000,30,100.0,1300,0.18430034129692832
C (kernel),1000,30,100.0,1500,0.15641361256544503
C (kernel),1000,30,100.0,1700,0.149812734082397
C (kernel),1000,30,100.0,1900,0.15090252707581228
C (kernel),1000,30,150.0,1100,0.19083969465648856
C (kernel),1000,30,150.0,1300,0.18088737201365188
C (kernel),1000,30,150.0,1500,0.15772251308900523
C (kernel),1000,30,150.0,1700,0.149812734082397
C (kernel),1000,30,150.0,1900,0.15306859205776174
C (kernel),1000,30,200.0,1100,0.18797709923664122
C (kernel),1000,30,200.0,1300,0.18156996587030716
C (kernel),1000,30,200.0,1500,0.15772251308900523
C (kernel),1000,30,200.0,1700,0.1491885143570537
C (kernel),1000,30,200.0,1900,0.1552346570397112
C (kernel),1000,30,300.0,1100,0.18893129770992367
C (kernel),1000,30,300.0,1300,0.18156996587030716
C (kernel),1000,30,300.0,1500,0.1551047120418848
C (kernel),1000,30,300.0,1700,0.14731585518102372
C (kernel),1000,30,300.0,1900,0.155956678700361
C (kernel),1000,30,500.0,1100,0.1898854961832061
C (kernel),1000,30,500.0,1300,0.18156996587030716
C (kernel),1000,30,500.0,1500,0.15575916230366493
C (kernel),1000,30,500.0,1700,0.14481897627965043
C (kernel),1000,30,500.0,1900,0.15379061371841155
C (kernel),1000,30,1000.0,1100,0.18893129770992367
C (kernel),1000,30,1000.0,1300,0.18361774744027304
C (kernel),1000,30,1000.0,1500,0.1551047120418848
C (kernel),1000,30,1000.0,1700,0.14544319600499375
C (kernel),1000,30,1000.0,1900,0.15451263537906137
