Policy,Mean Cum. Reward,Std,Mean ELO Gain
ε-Greedy (ε=0.1),16.76533270399742,2.9493620248976944,12.626666666666667
ε-Greedy (ε=0.3),16.626191788632926,3.158667216710565,12.726666666666667
ε-Greedy (ε=0.2),16.572980579728696,3.2332398610416724,12.213333333333333
ε-Greedy (ε=0.05),16.43862333367728,3.3368172390288517,11.946666666666667
LinUCB (α=1.0),16.418017646394205,3.27712316031216,12.106666666666667
TS (v=0.5),16.363607411736172,3.465388555071111,12.04
TS (v=1.0),16.35419973428526,3.3835789283522635,11.853333333333333
LinUCB (α=2.0),16.349837120400885,3.3991327407934886,11.706666666666667
TS (v=2.0),16.348058001769655,3.399623908239289,12.04
Rule-Based,16.29071533669683,3.5091037941282193,11.96
Random,16.27145041388811,3.4742634564048482,11.866666666666667
LinUCB (α=5.0),16.250809160627444,3.5657779042199342,11.88
LinUCB (α=0.5),16.139532531229747,3.684815276577685,10.986666666666666
LinUCB (α=0.1),15.79349004058635,3.9511949072384978,10.98
